Script Name,Operator Chain
script_101306,{ee.ImageCollection||africa}->ee.ImageCollection.filterDate.filterBounds.select->ee.ImageCollection.filterDate.filterBounds.select->Map.centerObject->ui.Panel->panel.style.set->ui.Panel->panel.add->ui.Label->ui.Label->panel.add->Map.onClick->Map.style.set->ui.root.insert->dataset.filter.filter->dataset.filter.filter->dataset.filter.filter->dataset.filter.filter->dataset.filter.filter->dataset.filter.filter->dataset.filter.filter->january.median->february.median->march.median->april.median->may.median->november.median->december.median->dataset.select->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive
script_101735,ee.FeatureCollection.filterMetadata->{CHIRPS2||MODIS2}->ee.Date->ee.Date->print->ee.Number->latestImage.difference.divide->ee.List.sequence->list.map->timeListDate.sort->ee.ImageCollection.fromImages->ee.ImageCollection->ee.ImageCollection->SpiGreaterEqual12->MODIS.aggregate_array->listMillis.map->ee.ImageCollection.fromImages->precipitation16Days.map->stats16DayCollection.map->print->Map.centerObject->Map.addLayer->Map.addLayer->AOI.map->ui.Chart.image.seriesByRegion.setOptions->print->ui.Chart.image.seriesByRegion.setOptions->print
script_101746,Sahel->{CHIRPS2||MODIS2}->ee.Date->ee.Date->print->ee.Number->latestImage.difference.divide->ee.List.sequence->list.map->timeListDate.sort->ee.ImageCollection.fromImages->ee.ImageCollection->ee.ImageCollection->SpiGreaterEqual12->MODIS.aggregate_array->listMillis.map->ee.ImageCollection.fromImages->precipitation16Days.map->stats16DayCollection.map->print->Map.centerObject->Map.addLayer->Map.addLayer->AOI.map->ui.Chart.image.seriesByRegion.setOptions->print->ui.Chart.image.seriesByRegion.setOptions->print
script_102054,ee.Geometry.Polygon->{ee.Geometry.Polygon||ee.FeatureCollection}
script_102166,{ee.Geometry.Polygon||ee.ImageCollection}->landsat.filterBounds.filterDate->collection.map.map->Map.addLayer->Map.addLayer
script_102484,ee.Image.normalizedDifference.rename->Map.addLayer->agri.merge->print->print->{combined}->ee.FeatureCollection->{ee.Array||ee.Array||X.slice.subtract||Y.slice.add||Xk_m_Xkm1.multiply.multiply.reduce.abs.toList.get}->print->print->ROC.sort.first.get.aside
script_102500,{ee.ImageCollection||ee.FeatureCollection}->bnd_cambodia.filter->bnd_cambodia.geometry->sentinel2.filterBounds.filterDate.sort.map.mosaic.clip->sentinel2.filterDate.filterBounds.sort.map.mosaic.clip->image_dry.normalizedDifference->image_wet.normalizedDifference->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.centerObject
script_102756,ee.FeatureCollection->worldmap.geometry->ee.Date.fromYMD->ee.Date.fromYMD->ee.List.sequence->ee.List.sequence->ee.ImageCollection.filterDate.select->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->ee.ImageCollection->spei10m.filterDate->ee.Image->{}->imageKoppen.updateMask->Map.addLayer->{ee.Image||ee.Image}->Map.addLayer->Map.addLayer->ee.Image.select->lucc.eq->ee.ImageCollection.fromImages->ee.ImageCollection.fromImages->ee.Filter.equals->ee.Join.saveFirst->ee.ImageCollection.map->NDVI_monthlink.map->NDVI_anomaly.select.map->NDVI_anomaly.select.map->NDVI_anomaly.select.map->ee.Filter.equals->ee.Join.saveFirst->ee.ImageCollection.map->ee.ImageCollection.map->NDVI_threeMonthAnomaly.map->NDVI_anomaly_sum.select.map->spei.map->ee.Filter.equals->ee.ImageCollection.map->NDVI3mLag_spei.reduce.addBands.updateMask->corrmap.select->Map.addLayer->ColorBar->makeLegend->Map.add->Export.image.toDrive->ui.Chart.image.byClass.setOptions->print
script_102942,{ee.FeatureCollection||ee.Image||ee.Image||ee.Image||ee.Image}->ee.Filter.date->ee.Filter.date->y2018->ee.Geometry.Polygon->ee.FeatureCollection->fdl->Map.centerObject->ee.Dictionary.fromLists->ee.List->ee.List->ee.List->l8_bands.cat.cat->dictionary.values->print->toNatural->removeBordersVV->removeBordersVH->bandRatio->ee.ImageCollection.filter.filterBounds.filter.select->print->s1.map.map.map.map->s1_processed.reduce.select->Map.addLayer->ee.ImageCollection.filter.filterBounds->print->l8.map->l8_masked.map.map.map->l8_indices.mean.select->Map.addLayer->l8_composite.addBands.addBands.clip->ee.Image.projection->stack.select.reproject->print->training_data.filterBounds->print->stack.select.toFloat->print->stack.sampleRegions->print->ee.Classifier.smileRandomForest.train->stack.classify.clip->Map.addLayer->Map.addLayer->trained.confusionMatrix->print->print
script_103650,ee.FeatureCollection.filter->ee.FeatureCollection->ee.Image.byte.paint->Map.centerObject->Map.addLayer->Map.addLayer->ee.ImageCollection.filterBounds.filter->print->collectionLight_2013.filter.median.clip->print->collectionLight_2013.filter.median.clip->Map.addLayer->Map.addLayer->{medianLight_2013.select.reduceRegion||medianLight_2013.select.reduceRegion||ee.Number||ee.Number}->print->print->medianLight_2013.select.lte->medianLight_2013.select.lte->darkest_2013.reduceRegion->darkest100_2013.reduceRegion->ee.Number->print->print->print
script_103658,ee.Geometry.MultiPolygon->{ee.Image||ee.Image}->Map.addLayer->Map.addLayer->ee.ImageCollection.filterBounds->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->mar2010.eq.select->mar2013.eq.select->mar2010tree.eq.and.select.expression->mar2010tree.eq.and.select.expression->mar2010tree.eq.and.select.expression->mar2010tree.eq.and.select->ee.ImageCollection.sum.byte->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->ee.Kernel.rectangle->mar2010tree.convolve->mar2013tree.convolve->mar2013tree9x9.subtract->Map.addLayer->ee.Kernel.rectangle->mar2010tree.convolve->mar2013tree.convolve->mar2013tree25x25.subtract->Map.addLayer->ee.Kernel.rectangle->mar2010tree.convolve->mar2013tree.convolve->mar2013tree50x50.subtract->Map.addLayer->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive
script_103659,ee.Geometry.MultiPolygon->{ee.Image||ee.Image}->Map.addLayer->Map.addLayer->ee.ImageCollection.filterBounds->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->mar2010.eq.select->mar2017.eq.select->mar2010tree.eq.and.select.expression->mar2010tree.eq.and.select.expression->mar2010tree.eq.and.select.expression->mar2010tree.eq.and.select->ee.ImageCollection.sum.byte->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->ee.Kernel.rectangle->mar2010tree.convolve->mar2017tree.convolve->mar2017tree9x9.subtract->Map.addLayer->ee.Kernel.rectangle->mar2010tree.convolve->mar2017tree.convolve->mar2017tree25x25.subtract->Map.addLayer->ee.Kernel.rectangle->mar2010tree.convolve->mar2017tree.convolve->mar2017tree50x50.subtract->Map.addLayer->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive
script_103660,ee.Geometry.MultiPolygon->{ee.Image||ee.Image}->Map.addLayer->Map.addLayer->ee.ImageCollection.filterBounds->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->naip.filterDate.median.byte->mar2013.eq.select->mar2017.eq.select->mar2013tree.eq.and.select.expression->print->mar2013tree.eq.and.select.expression->mar2013tree.eq.and.select.expression->mar2013tree.eq.and.select->ee.ImageCollection.sum.byte->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->ee.Kernel.rectangle->mar2013tree.convolve->mar2017tree.convolve->mar2017tree9x9.subtract->Map.addLayer->ee.Kernel.rectangle->mar2013tree.convolve->mar2017tree.convolve->mar2017tree25x25.subtract->Map.addLayer->ee.Kernel.rectangle->mar2013tree.convolve->mar2017tree.convolve->mar2017tree50x50.subtract->Map.addLayer->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive->Export.image.toDrive
script_103730,{ee.Geometry.Point||ee.Geometry.MultiPoint}->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.Geometry.Point->ee.ImageCollection->imageCollection.select.filterBounds->S2.filterDate->ee.Image->ee.Image->S2Date.select->image.select->S2Standard.first.multiply->imageStandard.multiply->Map.addLayer->Map.addLayer->Map.getScale->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->print->print->print->masking->masking->edgy->Map.addLayer->S2Masked.select.gradient->Map.addLayer->S2Masked.select->Map.addLayer->S2Masked.select->Map.addLayer->lowT->Map.addLayer->highT->Map.addLayer->print
script_103826,{ee.ImageCollection||ee.Geometry.LineString||ee.Image||ee.Geometry.LineString}->CrossSection->imageCollection.mean->Map.addLayer->Map.addLayer->Map.centerObject->ee.List->ee.List->ee.List.sequence->ee.List.sequence->ee.FeatureCollection->meanElevation.reduceRegions->print->ee.List->ee.List->ee.List.sequence->ee.List.sequence->ee.FeatureCollection->DEMNL.reduceRegions->print
script_103849,{ee.ImageCollection||ee.ImageCollection||ee.ImageCollection}->ee.FeatureCollection->myBasin.filterMetadata->ee.Date.fromYMD->ee.Date.fromYMD->ee.List.sequence->ee.List.sequence->ee.List->chirps.filterDate.sort.filterBounds->MCD15A.filterDate.sort.filterBounds.select->MYD13Q1.filterDate.sort.filterBounds.select->ee.ImageCollection.fromImages->ee.ImageCollection.fromImages->ee.ImageCollection.fromImages->MonthlyNDVI.combine.combine->MonthlyNDVI.max->MonthlyNDVI.min->Map.addLayer->Map.centerObject
script_103882,{ee.ImageCollection||ee.Geometry.LineString||ee.Image||ee.Geometry.LineString}->CrossSection->imageCollection.mean->Map.addLayer->Map.addLayer->Map.centerObject->ee.List->ee.List->ee.List.sequence->ee.List.sequence->ee.FeatureCollection->meanElevation.reduceRegions->print->ee.List->ee.List->ee.List.sequence->ee.List.sequence->ee.FeatureCollection->DEMNL.reduceRegions->print->Map.centerObject
script_103883,{ee.ImageCollection||ee.Geometry.LineString||ee.Image||ee.Geometry.LineString}->CrossSection->imageCollection.mean->Map.addLayer->Map.addLayer->Map.centerObject->ee.List->ee.List->ee.List.sequence->ee.List.sequence->ee.FeatureCollection->meanElevation.reduceRegions->print->ee.List->ee.List->ee.List.sequence->ee.List.sequence->ee.FeatureCollection->DEMNL.reduceRegions->print->Map.centerObject
